course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TU905,Economics and Finance,460,,488,,465,,488,,,
TU906,Human Resource Management,386,377,412,,395,,414,,,
TU907,Logistics and Supply Chain Management,300,,367,,300,,387,,,
TU910,Accounting,420,,462,,444,,466,,,
TU912,Business Analytics,331,311,367,,330,,366,,,
TU914,Business Computing,322,,377,,324,,366,,,
TU917,Law (LLB ) with a Language,356,,451,,342,,433,,,
TU918,Law (LLB),463,,499,,451,,478,,,
TU919,Advertising and Marketing Communications,219,,327,,228,226,311,,,
TU920,Digital Marketing,270,,339,,270,,318,,,
TU921,Digital Marketing Technologies,230,,298,,212,212,300,,,
TU922,Marketing,412,,446,,418,,443,,,
TU924,E-Commerce in Retailing,307,,380,,307,,380,,,
TU925,Retail and Services Management,307,,368,,301,,362,,,
TU932,Business (options),211,,337,,,,,,,
TU933,Accounting and Finance (campus options),251,,346,,,,,,,
TU935,Sports Management and Coaching,300,,368,,300,,347,,,
TU936,Sports Science and Health,484,,498,,410,391,419,,,
TU941,Botanical Cuisine,311,,380,,249,,257,,,
TU942,Culinary Arts,252,,348,,212,212,340,,,
TU943,Culinary Entrepreneurship,261,,387,,278,,357,,,
TU944,Culinary Science,336,,393,,316,,379,,,
TU951,International Hospitality and Tourism Management,244,,316,,184,184,298,,,
TU952,International Hospitality Management,309,,398,,300,,368,,,
TU953,Tourism and Digital Marketing,308,,366,,290,,359,,,
TU954,Event Management,326,,402,,356,,404,,,
TU955,Sports and Leisure Management,275,,349,,217,317,347,,,
TU961,Commercial Modern Music (BIMM - assessment/audition),536,536,881,#,608,608,848,#,,
TU962,"Drama (Performance, audition)",448,,551,#,379,,500,#,,
TU963,Music (audition),364,,561,#,416,,535,#,,
TU965,International Business and Languages,357,,442,,356,346,413,,,
TU967,Languages and International Tourism,298,,390,,308,,388,,,
TU973,Design - Visual Communication (portfolio),700,,953,#,717,,865,#,,
TU974,Fine Art (portfolio),549,,704,#,709,563,826,#,,
TU975,Interior Design (portfolio),544,,919,#,632,,879,#,,
TU976,Photography (portfolio),700,,952,#,695,,926,#,,
TU978,Creative Industries and Visual Culture,299,,440,,,,,,,
TU981,Creative Digital Media,280,,347,,280,,318,,,
TU982,Media Production and Digital Arts,369,,412,,320,311,352,,,
TU983,Film and Broadcasting,462,453,496,,456,451,484,,,
TU984,Game Design,414,,455,,381,,419,,,
TU985,Journalism,367,,409,,322,,377,,,
TU989,Early Childhood Care and Education (campus options),270,,337,,,,,,,
TU991,Applied Social Studies in Social Care,326,,356,,325,,352,,,
TU992,Community Development and Youth Work,251,,311,,251,,297,,,
TU995,Early Childhood Education,378,,412,,367,,409,,,
